author_id	name
1	Hadrianus Barlandus
1	Adriaan van Baarland
2	Adreas van Hoye
2	André van Hoye
3	Augustyn Alsten Bloemaert
4	Charles Malapert
4	Karel Malapert
5	Cornelis Schoon
5	cornelius schoneaus
6	Cornelius Kroock
7	Cornelius Laurimannus
7	Cornelius Lauwerman
8	Houcarius
8	Gillis Hoockaert
8	Elooi van Houcke
8	Eligius Lucharius
9	Joseph Simeons
10	Franciscus Fabricius
11	François Goethals
11	Franciscus Eucollus
11	Franciscus Panagathus
12	Franciscus van den Eijnde
12	Afinius
13	François Noe͏̈l
14	Frédéric Pirouel
15	Caspar Ens
15	Gaspar Ens
16	Grégoire de Hologne
17	Gulielmus Gazaeus
17	Guillaume Gazeau
18	Guilliam Caudron
19	Heinrich Canisius
19	Hendrik de Hondt
20	Hugo de Groot
21	Jacob van Zevecote
22	Jacques Libens
23	Jacoppen Pietersen
23	Jacobus Zovitius Driescharus
23	Jacobus Zovitius Triburbius
24	Jean Baptiste Gramaye
24	Joannes Baptista Gramaius
24	Johannes Baptistes Gramaius
25	Jean Chrysostome Loots
26	Johannes Baptista Holvoet
27	Johannes Struyven
27	Jean le Plaisant
27	Johannes Plaisant
27	Joannes Leo Placentius
28	Jean Surius
28	Johannes Surius Bethuniensis
29	Johannes van Aelhuysen
29	Johannes van Aalhuisen
30	Johannes van Heeck
31	Jan Amos Comenius
31	Jan Amos Komenský
31	Jan Komenský
32	Joseph Justus Scaliger
33	Lambert Thomas Schenkel
33	Lambertus Thomas Schenckels
34	Liévin van Brecht
35	Louis Cellot
36	Macropedius
36	Joris van Lanckvelt
37	Martin du Cygne
38	Johannes van der Meulen
38	Jan van der Meulen
38	Jan Vermeulen
39	Nicolas Bartholemy
39	Nicolaus Bartholomaeus Lochiensis
40	Nicolas Suys
41	Nicolas de Vernulz
42	Oliv. de Reylof
43	Petrus van den Houte
43	Petrus Ligneus Gravelinganus
43	Petrus van den Houtte
44	Pieter Nanninck
45	Remacle d'Ardenne
46	Rochus van den Honert
47	Antoine de Waele
47	Anton van Wale
48	Willem Claesz. de Volder
48	 Willem van Haeghen
48	Wilhelm Gnapheus
48	Willem van de Voldersgraft
49	Joan Baptista Anyés
49	Giano Anisio
50	Petrus Philicinus
51	Marteen van Dorp
52	Erasmus
53	Martinus van Aklemade
53	Martinus Florentii
54	Bernard van Heymbach
55	Lambertus Hortensius van Montfoort
55	Lambertus van de Hove
56	Libertus Houthem
57	Michael Hoyer
58	Christoph Stymmel
58	Ignotus Peerdeklontius
58	Christoph Stummel
59	Joannes Impens
60	Christianus Sterck
61	Philips Mor
61	Philips Moro
61	Philips Morus
62	Johannes van Naarssen
62	Anastasii filius
62	Hans van der Ast
63	Pierre Pontanus
63	Petrus de Ponte
63	Petrus Caecus
63	Petrus van der Brugge
64	George Rataller
65	Adriaen de Roulers
65	Adrien de Roulers
66	Panagius du Sel
66	Toussaint Sally
67	Antonius van Schore
68	Apollonois Schotte
69	Reinier Snoy
70	Franciscus Silvius
70	Francis Sylvius
71	Peter Tiara
71	Pieter Tjeerds
71	Petreius Tiara Frisius
72	Jakob Vivarius
72	Jacques van den Vvver
72	Jacobus van den Vijver
73	Petrus Vladderacken
73	Peter van Vladeracken
74	Alessandro Donati
75	Hendrik Osterhaern
76	Hendrik Swaerdecroon
77	Johann Reuchlin
78	Willem Caudron
