id	name	origin	type	first_name	prefix	surname	birth_earliest	birth_latest	birth_place	death_earliest	death_latest	death_place	occupation	religion	image	wikidata
1	Adrianus Barlandus	1	Person	Adrianus		Barlandus	1486-09-28	1486-09-28	20	1538-11-30	1538-11-30	11	historian; philosopher; philologist; university teacher			http://www.wikidata.org/entity/Q2067100
2	Andreas Hoius	2	Person	Andreas		Hoius	1551-01-01	1551-12-31	32	1631-01-01	1631-12-31					
86	Aquila Cruso	3	Person	Aquila		Cruso	1595-01-01	1595-12-31		1660-01-01	1660-12-31					
94	Augustinians	4	Organization													
95	Augustinians of Antwerpen	5	Organization													http://www.wikidata.org/entity/Q48526662
96	Augustinians of Gent	6	Organization													
3	Augustus Alstenius Bloemertius	7	Person	Augustus Alstenius		Bloemertius	1585-01-01	1585-12-31	64	1659-11-04	1659-11-04	64				
87	Aulus Gerardus Dalanthus	8	Person	Aulus Gerardus		Dalanthus				1577-01-01	1577-12-31					
88	Bernardinis Stephonius Sabinus	9	Person	Bernardinis Stephonius		Sabinus										
4	Carolus Malapertius	10	Person	Carolus		Malapertius	1581-07-12	1581-07-12	46	1630-11-05	1630-11-05	30	astronomer; poet; mathematician	Catholicism		http://www.wikidata.org/entity/Q744091
5	Cornelius Schonaeus	11	Person	Cornelius		Schonaeus	1540-01-01	1541-12-31	49	1611-11-23	1611-11-23	64	playwright; writer		https://commons.wikimedia.org/wiki/File:Cornelius_Schon%C3%A4us.jpg	http://www.wikidata.org/entity/Q2707820
6	Cornelius Crocus	12	Person	Cornelius		Crocus	1495-01-01	1505-12-31	77	1550-10-01	1550-10-01	48	playwright			http://www.wikidata.org/entity/Q55194213
7	Cornelius Laurimanus	13	Person	Cornelius		Laurimanus	1515-01-01	1525-12-31		1573-01-01	1573-12-31		playwright			http://www.wikidata.org/entity/Q2341707
79	Daniel Heinsius	14	Person	Daniel		Heinsius	1580-06-09	1580-06-09	27	1655-02-25	1655-02-25	66	poet; librarian; writer; university teacher; classical scholar; philologist; playwright; translator; publisher		https://commons.wikimedia.org/wiki/File:Daniel_Heinsius_-_Imagines_philologorum.jpg	http://www.wikidata.org/entity/Q918731
8	Eligius Eucharius	15	Person	Eligius		Eucharius	1483-01-01	1493-12-31		1544-01-01	1544-12-31					
97	Emmanuel Rodriguez	16	Person	Emmanuel		Rodriguez										
9	Emmanuel Lobb	17	Person	Emmanuel		Lobb	1594-01-01	1594-12-31	61	1671-07-24	1671-07-24	55	playwright	Catholicism		http://www.wikidata.org/entity/Q3810270
89	Eusebius Candidus	18	Person	Eusebius		Candidus										
10	Fabricius Ruremundanus	19	Person	Fabricius		Ruremundanus	1495-01-01	1495-12-31		1560-01-01	1560-12-31					
11	Franciscus Eutrachelus	20	Person	Franciscus		Eutrachelus	1539-01-01	1539-12-31		1616-01-01	1616-12-31					
12	Franciscus van den Enden	21	Person	Franciscus	van den	Enden	1602-02-09	1602-02-09	56	1674-11-24	1674-11-24	65	physician; poet; philosopher, writer; politician			http://www.wikidata.org/entity/Q596911
13	Franciscus Noël	22	Person	Franciscus		Noël	1651-08-18	1651-08-18	40	1729-09-17	1729-09-17	37	father; writer; translator; theologian; cartographer	Catholicism		http://www.wikidata.org/entity/Q1451148
14	Fredericus Piroüel	23	Person	Fredericus		Piroüel				1650-01-01	1650-12-31					
15	Casparus Casparius	24	Person	Casparus		Casparius	1569-01-01	1569-12-31		1642-01-01	1652-12-31		mathematician			http://www.wikidata.org/entity/Q18945332
16	Gregorius Holonius	25	Person	Gregorius		Holonius	1531-01-01	1531-12-31		1594-01-01	1594-12-31					
