expression_id	manifestation_id
2378	1710
2378	2157
2378	2238
2379	544
2379	1107
2379	1130
2379	991
2379	543
2379	1131
2379	993
2379	1106
2379	357
2379	994
2379	358
2379	1178
2379	289
2379	1040
2379	1582
2379	1533
2379	546
2379	1579
2379	547
2379	1308
2379	1309
2380	1754
2380	235
2380	1180
2381	1128
2381	1129
2382	1860
2382	151
2382	999
2383	415
2383	423
2383	425
2383	1001
2383	1304
2383	523
2383	1307
2383	418
2384	416
2384	424
2384	426
2384	976
2384	1000
2384	1303
2384	518
2384	1306
2384	417
2385	953
2385	608
2385	954
2385	287
2385	995
2385	955
2385	176
2385	1182
2385	288
2385	609
2385	978
2385	463
2385	968
2385	1108
2385	979
2385	1127
2385	326
2385	1126
2386	419
2386	2242
2386	973
2386	974
2386	522
2387	420
2387	957
2387	997
2387	972
2387	513
2387	524
2388	1132
2388	421
2388	1179
2388	977
2388	1135
2388	519
2389	422
2389	378
2389	996
2389	998
2389	1184
2389	542
2390	1133
2390	2203
2390	1181
2390	2267
2390	1125
2390	514
2391	1581
2391	1183
2391	959
2392	427
2392	528
2392	1177
2392	958
2392	520
2393	529
2393	971
2393	975
2393	980
2393	1720
2393	515
2393	1305
2393	992
2393	295
2394	1516
2394	377
2395	245
2395	323
2395	1096
2396	1134
2396	521
2397	1425
2397	1518
2398	516
2398	517
2399	527
2399	150
2400	291
2400	1926
2400	155
2400	1430
2400	386
2400	2023
2400	392
2400	404
2400	411
2400	1437
2400	491
2400	446
2400	1285
2400	1295
2401	1865
2401	1871
2401	294
2401	1930
2402	465
2402	292
2402	1935
2402	158
2402	1433
2402	388
2402	2025
2402	394
2402	406
2402	407
2402	2147
2402	413
2402	1439
2402	2150
2402	1531
2402	494
2402	451
2402	1287
2402	1038
2402	1039
2402	2282
2403	481
2403	293
2403	1923
2403	154
2403	1429
2403	385
2403	2022
2403	391
2403	403
2403	410
2403	1436
2403	490
2403	445
2403	1284
2403	1294
2404	1881
2404	1426
2404	297
2405	1889
2405	1902
2406	1904
2406	1999
2407	1907
2407	2001
2408	1919
2408	152
2408	1427
2408	383
2408	2020
2408	389
2408	401
2408	408
2408	1434
2408	488
2408	443
2408	1282
2408	1293
2409	153
2409	1428
2409	384
2409	2021
2409	390
2409	402
2409	409
2409	1435
2409	1529
2409	489
2409	444
2409	1283
2409	1292
2410	156
2410	1431
2410	1698
2410	414
2410	1440
2410	1530
2410	492
2410	448
2410	1297
2411	157
2411	1432
2411	387
2411	2024
2411	393
2411	405
2411	412
2411	1438
2411	493
2411	449
2411	1286
2411	1298
2412	2019
2412	1697
2412	396
2412	1311
2412	238
2412	441
2412	1290
2413	1696
2413	486
2413	440
2413	1289
2414	1699
2414	398
2414	1313
2414	236
2414	450
2414	1299
2415	1700
2415	399
2415	1314
2415	240
2415	452
2415	1300
2416	1701
2416	484
2416	454
2416	1302
2417	159
2417	333
2417	1499
2418	395
2418	1310
2418	237
2418	438
2419	397
2419	1312
2419	239
2419	447
2419	1296
2420	400
2420	1315
2420	241
2420	453
2420	1301
2421	2143
2421	485
2421	439
2421	1288
2422	2144
2422	487
2422	442
2422	1291
2423	965
2423	2175
2424	1528
2424	178
2424	1007
2424	1693
2424	1694
2424	1003
2424	533
2424	1514
2424	535
2424	984
2424	989
2424	769
2424	750
2424	987
2424	988
2424	330
2425	538
2425	1462
2425	764
2426	319
2426	1460
2427	278
2427	311
2427	1445
2428	2145
2428	2064
2429	305
2429	763
2430	162
2430	1544
2430	279
2430	759
2430	244
2431	306
2431	762
2432	470
2432	1745
2433	2156
2433	2170
2433	2226
2434	748
2434	1261
2434	2228
2435	1032
2435	431
2435	180
2435	1005
2436	956
2436	761
2437	430
2437	179
2437	1004
2438	1463
2438	312
2438	1446
2439	307
2439	314
2439	1451
2440	966
2440	308
2440	1441
2441	967
2441	309
2441	1442
2442	2171
2442	2229
2443	765
2443	483
2444	1112
2444	614
2444	1877
2445	1464
2445	1450
2446	610
2446	1527
2446	605
2446	1522
2447	310
2447	1443
2448	313
2448	1448
2449	2179
2449	2026
2450	315
2450	322
2451	316
2451	1452
2452	317
2452	1453
2453	318
2453	1454
2454	334
2454	1006
2455	2187
2455	2210
2455	1350
2456	1692
2456	1002
2456	1695
2456	534
2456	1515
2456	536
2456	990
2457	2196
2457	1046
2458	1029
2458	1444
2459	1577
2459	1578
2460	2237
2460	189
2461	246
2461	252
2461	258
2462	247
2462	253
2462	259
2463	248
2463	254
2463	260
2464	249
2464	255
2464	261
2465	250
2465	256
2465	262
2466	251
2466	257
2466	263
2467	1487
2467	1014
2468	1488
2468	1015
2469	1489
2469	1016
2470	1490
2470	1017
2471	1491
2471	1018
2472	1492
2472	1019
2473	1008
2473	1020
2474	1009
2474	1021
2475	1010
2475	1022
2476	1011
2476	1023
2477	1012
2477	1024
2478	1013
2478	1025
2479	1541
2479	462
2480	2262
2480	2359
2481	381
2481	502
2482	2317
2482	1758
2483	505
2483	1231
2484	356
2484	347
2485	2347
2485	2348
2486	1716
2486	1667
2487	1634
2487	1061
2488	1783
2488	783
2489	1560
2489	1349
2490	1788
2490	1845
2490	1863
2491	1044
2491	896
2492	1045
2492	845
2493	1048
2493	1077
2494	1822
2494	167
2495	1825
2495	1981
2496	1826
2496	1975
2497	693
2497	1194
2498	694
2498	1264
2499	1334
2499	1340
2500	1839
2500	1988
2501	1051
2501	851
2502	696
2502	208
2503	1849
2503	1945
2504	1347
2504	1411
2505	1851
2505	197
2506	1852
2506	1874
2506	1958
2507	1367
2507	1414
2508	1280
2508	803
2509	1055
2509	876
2510	1890
2510	1388
2511	1901
2511	960
2512	1139
2512	1140
2513	1144
2513	1157
2514	1154
2514	1155
2515	1936
2515	2016
2516	1229
2516	1234
2517	1957
2517	774
2518	1114
2518	796
2519	1993
2519	1994
2520	818
2520	951
2521	825
2521	949
2522	826
2522	837
2523	1249
2523	1250
2524	1258
2524	1259
2525	2032
2525	2033
2526	2180
2527	1262
2528	164
2529	2281
2530	1123
2531	1949
2532	1124
2533	530
2534	320
2535	963
2536	525
2537	526
2538	1803
2539	964
2540	613
2541	1829
2542	428
2543	746
2544	280
2545	464
2546	1861
2547	1883
2548	1891
2549	747
2550	1916
2551	1971
2552	1974
2553	1978
2554	1109
2555	281
2556	282
2557	1041
2558	177
2559	1513
2560	1702
2561	1703
2562	1519
2563	286
2564	2146
2565	1459
2566	1520
2567	1521
2568	1461
2569	2148
2570	2149
2571	335
2572	1110
2573	2151
2574	372
2575	2152
2576	2153
2577	379
2578	2154
2579	636
2580	436
2581	373
2582	539
2583	437
2584	2155
2585	471
2586	336
2587	337
2588	374
2589	2158
2590	2159
2591	2160
2592	2161
2593	2162
2594	375
2595	1033
2596	2163
2597	380
2598	2164
2599	376
2600	2165
2601	472
2602	429
2603	2166
2604	661
2605	473
2606	435
2607	1704
2608	1493
2609	474
2610	662
2611	663
2612	1111
2613	2167
2614	1494
2615	1705
2616	1706
2617	1496
2618	2168
2619	1707
2620	2169
2621	760
2622	1495
2623	1708
2624	751
2625	766
2626	338
2627	1034
2628	617
2629	339
2630	2172
2631	1035
2632	2173
2633	2174
2634	1497
2635	2176
2636	722
2637	1162
2638	1540
2639	475
2640	1465
2641	2177
2642	637
2643	366
2644	2178
2645	638
2646	1036
2647	2181
2648	2182
2649	1498
2650	2183
2651	2184
2652	723
2653	476
2654	2185
2655	1554
2656	2186
2657	1163
2658	2188
2659	752
2660	618
2661	753
2662	754
2663	755
2664	639
2665	619
2666	1164
2667	1691
2668	756
2669	757
2670	2189
2671	758
2672	664
2673	2190
2674	2191
2675	2192
2676	2193
2677	2194
2678	2195
2679	1026
2680	1027
2681	2197
2682	1569
2683	277
2684	2198
2685	2199
2686	1466
2687	2200
2688	1099
2689	1467
2690	2201
2691	2202
2692	2204
2693	2205
2694	2206
2695	2207
2696	2208
2697	1468
2698	1100
2699	640
2700	2209
2701	1570
2702	665
2703	666
2704	1474
2705	667
2706	2211
2707	2212
2708	2213
2709	2214
2710	477
2711	1571
2712	466
2713	467
2714	2215
2715	468
2716	1037
2717	2216
2718	2217
2719	668
2720	669
2721	469
2722	2218
2723	670
2724	1101
2725	1469
2726	2219
2727	1102
2728	1103
2729	2220
2730	1104
2731	671
2732	1470
2733	1165
2734	2221
2735	285
2736	2222
2737	2223
2738	2224
2739	1471
2740	620
2741	478
2742	2225
2743	2227
2744	672
2745	1097
2746	2230
2747	2231
2748	673
2749	2232
2750	2233
2751	1166
2752	1669
2753	2234
2754	2235
2755	2236
2756	321
2757	674
2758	641
2759	2239
2760	2240
2761	2241
2762	1472
2763	461
2764	283
2765	2243
2766	1117
2767	2244
2768	1473
2769	1118
2770	540
2771	1167
2772	290
2773	1105
2774	2775
2776	2245
2777	675
2778	2246
2779	211
2780	2247
2781	2248
2782	2249
2783	1119
2784	264
2785	212
2786	1137
2787	174
2788	1447
2789	1517
2790	2250
2791	1449
2792	574
2793	298
2794	2251
2795	1532
2796	676
2797	642
2798	1475
2799	2252
2800	1476
2801	434
2802	1486
2803	2253
2804	213
2805	1572
2806	1168
2807	2254
2808	455
2809	2256
2810	643
2811	541
2812	2257
2813	284
2814	2258
2815	2259
2816	1169
2817	2260
2818	644
2819	456
2820	457
2821	1170
2822	645
2823	324
2824	325
2825	2261
2826	214
2827	458
2828	2263
2829	215
2830	646
2831	1171
2832	216
2833	647
2834	217
2835	2264
2836	648
2837	2265
2838	459
2839	1172
2840	2266
2841	460
2842	1098
2843	1709
2844	1173
2845	2268
2846	649
2847	615
2848	616
2849	545
2850	677
2851	218
2852	265
2853	219
2854	266
2855	1174
2856	267
2857	220
2858	268
2859	1549
2860	2269
2861	650
2862	2270
2863	221
2864	222
2865	651
2866	269
2867	1186
2868	1175
2869	652
2870	1176
2871	223
2872	2271
2873	224
2874	331
2875	270
2876	332
2877	271
2878	2272
2879	272
2880	2273
2881	2274
2882	2275
2883	1120
2884	2276
2885	2277
2886	653
2887	654
2888	2278
2889	2279
2890	175
2891	655
2892	575
2893	273
2894	2280
2895	1121
2896	656
2897	576
2898	2283
2899	1122
2900	2284
2901	2285
2902	2286
2903	657
2904	225
2905	2287
2906	556
2907	2288
2908	557
2909	558
2910	559
2911	560
2912	561
2913	562
2914	563
2915	564
2916	632
2917	633
2918	565
2919	566
2920	567
2921	2289
2922	274
2923	2290
2924	226
2925	658
2926	634
2927	2291
2928	2292
2929	2293
2930	2294
2931	1187
2932	227
2933	275
2934	724
2935	725
2936	2295
2937	2296
2938	276
2939	2297
2940	2298
2941	2299
2942	2300
2943	2301
2944	726
2945	2302
2946	2303
2947	577
2948	1580
2949	2304
2950	2305
2951	578
2952	1188
2953	2306
2954	531
2955	1534
2956	1535
2957	1093
2958	2307
2959	2308
2960	1094
2961	2309
2962	2310
2963	2311
2964	2312
2965	1095
2966	727
2967	579
2968	503
2969	580
2970	2313
2971	532
2972	1455
2973	659
2974	1592
2975	2314
2976	2315
2977	1483
2978	612
2979	732
2980	2316
2981	2318
2982	660
2983	2319
2984	2320
2985	2321
2986	622
2987	2322
2988	2323
2989	581
2990	2324
2991	733
2992	504
2993	2325
2994	187
2995	734
2996	354
2997	2326
2998	2327
2999	2328
3000	188
3001	1542
3002	2329
3003	623
3004	1484
3005	480
3006	2330
3007	624
3008	735
