manifestation_id	title	language	certainty
150	Esthera Regina	Latin	Certain
151	Didascalus	Latin	Certain
152	Iosephus	Latin	Certain
153	Iuditha	Latin	Certain
154	Naaman	Latin	Certain
155	Nehemias	Latin	Certain
156	Pseudostratiotae	Latin	Certain
157	Saulus	Latin	Certain
158	Tobaeus	Latin	Certain
159	Adamus exul	Latin	Certain
160	L’hypocrite demasqué	French	Certain
161	L’orgeuil humilié ou Aman	French	Certain
162	Sedecias	Latin	Certain
163	Sergius vel capitis caput	Latin	Certain
164	Scenica Progymnasmata hoc est Ludicra praeexercitamenta	Latin	Certain
165	Eydel is het waght te stellen,, En te breken liefdens bandt:	Dutch	Certain
166	In amore stabili vana sit custodia	Latin	Certain
167	Judicium temerarium sive Adolphus Teutonum comes	Latin	Certain
168	t lichtveerdig oordeel door Adolphus	Dutch	Certain
169	Joseph se fratribus manifestans	Latin	Certain
170	Prodigus ad frugem revocatus	Latin	Certain
170	De verquister tot beternis gebragt	Dutch	Certain
171	Salomon unctus	Latin	Certain
171	Salomon gezalfd	Dutch	Certain
172	Den allerkinderen-dag	Dutch	Certain
173	Salomona met haer zeven zonen Machabeen	Dutch	Certain
174	Dry-dobbel verlies van Sapricius door den haet teghen Nicephorus	Dutch	Uncertain
175	Franciscus De Borgia in’t hof van den keyser kloeckmoedigh	Dutch	Uncertain
176	Joseph	Latin	Certain
177	Auriacus sive libertas saucia	Latin	Certain
178	Christus patiens	Latin	Certain
179	Maria Graeca	Latin	Certain
180	Rosimunda	Latin	Certain
181	Paulus Kien	Latin	Certain
182	Triumphus Ecclesiae	Latin	Certain
183	Aeternus Pater in Jephte	Latin	Certain
184	Adonias et Salomon	Latin	Certain
185	Brandende ende lichtende lanterne	Dutch	Certain
186	Lucerna ardens	Latin	Certain
187	Mauritius imperator	Latin	Certain
188	Mauritius orientis imperator	Latin	Certain
189	Menecrates	Latin	Certain
190	Jesus in templo inventus	Latin	Certain
191	Calvinus	Latin	Certain
192	Servus nequam	Latin	Certain
193	Athalia	Latin	Certain
193	Athalia	Dutch	Certain
194	Donec eris felix	Latin	Certain
194	Soo lanck gy sult geluckig zyn	Dutch	Certain
195	Jonathas	Latin	Certain
196	Mulier vidua	Latin	Certain
197	Titus Manlius	Latin	Certain
198	Morophilus	Latin	Certain
199	Nisus et Eurialus	Latin	Certain
200	Pambo Eremita	Latin	Certain
201	S. Aloysius	Latin	Certain
202	Serpens in deserto exaltatus	Latin	Certain
203	Nabuchodonosor	Latin	Certain
203	Nabuchodonosor	Dutch	Certain
204	Domitianus	Latin	Certain
205	Putagius	Latin	Certain
206	Clinia	Latin	Certain
207	Cyrus	Latin	Certain
208	Theophilus	Latin	Certain
209	Achab poenitens	Latin	Certain
210	Philargyrus	Latin	Certain
211	Vray modelle des Evesques remontré en Sainct Iean l’Apostre	French	Certain
212	S. Henricus pius, fortis, pacificus, imperator	Latin	Certain
213	Manasses coninck van Ierusalem	Dutch	Uncertain
214	Rechtveerdich oordeel Godts ofte Mauritius Keyser vanden Oosten	Dutch	Uncertain
215	Christelycke vraecke in Wamba coninck der Gothen in Spaignien	Dutch	Uncertain
216	H. Xaverius apostel vanden Oosten ondervvijser der ionckheyt	Dutch	Uncertain
217	Ionathas Machabaevs oppersten priester en capiteyn van het volck des heeren.	Dutch	Certain
218	Tragoedie Evstachivs in alle teghenspoet, onvvinbaer	Dutch	Certain
219	Den Glorieusen strydt voor de wet Godts ende Victorie van Eleazarus	Dutch	Certain
220	Saul ghestraft om sijne onghehoorsaemheydt	Dutch	Uncertain
221	Den h. Martinvs bischop van Tovrs	Dutch	Uncertain
222	Eer-vluchtigen Alexander	Dutch	Uncertain
223	Isaacius Angelus keyser vanden Oosten en Balduinus van Vlaenderen	Dutch	Certain
224	Ongheluckighe eersucht van Adonias, in wiens plaetse Salomon ghestelt wort	Dutch	Uncertain
225	Trebellius Coninck van Bulgarien	Dutch	Uncertain
226	Maurice empereur du Levant	French	Certain
227	David en Jonathas malkandren beminnende	Dutch	Uncertain
228	Ismael	Latin	Certain
229	Jephte	Latin	Certain
230	Adam et Eva	Latin	Certain
231	Potitus	Latin	Certain
232	Pastor bonus	Latin	Certain
233	Chrysomisus	Latin	Certain
234	Le malade imaginaire comedie	French	Certain
235	Christus Xylonicus	Latin	Certain
236	Susanna	Latin	Certain
237	Ananias	Latin	Certain
238	Daniel	Latin	Certain
239	Pentecoste	Latin	Certain
240	Triumphus Christi	Latin	Certain
241	Typhlus	Latin	Certain
242	Semiramis	Dutch	Certain
242	Semiramis	Latin	Certain
243	Veranderinge van het menschelyck lot, ofte Origenon ende Dafrosa	Dutch	Uncertain
244	Sedecias	Latin	Certain
428	Soter gloriosus	Latin	Certain
245	Hypocrisis: de hypocrisis falsa religione, ficta disciplina	Latin	Certain
246	Adelphi	Latin	Certain
246	Adelphi	Dutch	Certain
247	Andria	Latin	Certain
247	Andria	Dutch	Certain
248	Eunuchus	Latin	Certain
248	Eunuchus	Dutch	Certain
249	Heautontimorumenos	Latin	Certain
249	Heautontimorumenos	Dutch	Certain
250	Hecyra	Latin	Certain
250	Hecyra	Dutch	Certain
251	Phormio	Latin	Certain
251	Phormio	Dutch	Certain
252	Adelphi	Latin	Certain
252	Adelphi	Dutch	Certain
253	Andria	Latin	Certain
253	Andria	Dutch	Certain
254	Eunuchus	Latin	Certain
254	Eunuchus	Dutch	Certain
255	Heautontimorumenos	Latin	Certain
255	Heautontimorumenos	Dutch	Certain
256	Hecyra	Latin	Certain
256	Hecyra	Dutch	Certain
257	Phormio	Latin	Certain
257	Phormio	Dutch	Certain
258	Adelphi	Latin	Certain
258	Adelphi	Dutch	Certain
259	Andria	Latin	Certain
259	Andria	Dutch	Certain
260	Eunuchus	Latin	Certain
260	Eunuchus	Dutch	Certain
261	Heautontimorumenos	Latin	Certain
261	Heautontimorumenos	Dutch	Certain
262	Hecyra	Latin	Certain
262	Hecyra	Dutch	Certain
263	Phormio	Latin	Certain
263	Phormio	Dutch	Certain
264	Joseph den Patriarch	Dutch	Certain
265	Blyden inganck van Phoebus ende Musen	Dutch	Uncertain
266	Goddelycke wysheyt voor den Godts-dienst door den coninck Salomon	Dutch	Uncertain
267	Mardochaeus over den doodt-vyandt der Ioden Aman, triomferende	Dutch	Uncertain
268	Triomphe de la foy catholique representée dans Marc et Marcelliain	French	Certain
269	Rycken vreck in weelde ghestraft ende Lazarus in ellende gheloont	Dutch	Uncertain
270	Onnoosel bloedt vergoten door Ugolinus, prince van Hetrurie	Dutch	Uncertain
271	Vruchten van leet-wesen	Dutch	Certain
272	Zedelyck schou-speel	Dutch	Certain
273	Eustachius	Latin	Certain
274	Clodoaldus prince van Denemarcken	Dutch	Certain
275	De Doodt aen rycke, hooveerdighe versmaeders des Cruys Christi	Dutch	Uncertain
276	Mors divitibus superbis infelix pauperibus ac crucis christi cultoribus felix	Latin	Certain
277	Gvilielmvs eerst hertoghe van Aqvitanien van S. Avgvstyns orden	Dutch	Certain
278	Gorcomienses sive Fidei exilium	Latin	Certain
279	Sedecias	Latin	Certain
280	Salomon	Latin	Certain
281	Princeps Auriacus, sive libertas defensa	Latin	Certain
282	Auriacus	Latin	Certain
283	Sapricio-Nicephorus	Latin	Certain
284	Alexander soone van Alexander	Dutch	Uncertain
