id	origin	earliest	latest	form	form_type	is_anonymous	genre	subgenre	has_dramaweb_scan	has_dramaweb_transcription	ceneton_scan	ceneton_transcription	external_scan	external_transcription	fingerprint	literature	remarks	link_ub_antwerp	link_kbb	link_ub_gent	link_bnf	link_kb	link_google	link_bll
150	M129	1563-01-01	1563-12-31	Reprint	Full edition	f			t	t				f	156008 - a1 A2 et$frate : a2 B2 nterci - b1 B3 $regi - b2 H5 ibus$									
151	M57	1540-01-01	1540-12-31	Reprint	Full edition	f			f	f	https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/ZovitiusDidascalus1540		http://books.google.nl/books?id=uwcUAAAAQAAJ&printsec=frontcover&dq=inauthor:%22Jacobus+Zovitius%22&hl=nl&sa=X&ei=ELrgUOfaLaSe0QWX84HIBA&redir_esc=y#v=onepage&q&f=false	f	000008 - a1 A.ii. me$b : a2 A.iii. o$ - b1 B A.iiii. dum$i : b2 C.iii. s$con									
152	M168	1592-01-01	1592-12-31	Reprint	Full edition	f	Comedy	Sacred comedy	f	f				f	159208 - a1 A2 er$ : a2 P5 ,$ - b1 Q mus : b2 T2 onia - c1 T3 holast : c2 Hh5 re$vetern									
153	M169	1592-01-01	1592-12-31	First Printing	Full edition	f	Comedy	Sacred comedy	f	f				f	159208 - a1 A2 er$ : a2 T2 onia - b1 T3 holast : b2 Y5 ccurr - c1 Z p : c2 Hh5 re$vetern									
154	M170	1592-01-01	1592-12-31	Reprint	Full edition	f	Comedy		f	f				f	159208 - a1 A2 er$ : a2 M I - b1 M2 eat$m : b2 P5 .$ - c1 Q mus : c2 Hh5 re$vetern									
155	M171	1592-01-01	1592-12-31	Reprint	Full edition	f	Comedy	Sacred comedy	f	f				f	159208 - a1 A2 er$ : a2 E3 aud - b1 E4 bus : b2 H3 ndae$ - c1 H4 ribus : c2 Hh5 re$vetern									
156	M172	1592-01-01	1592-12-31	First Printing	Full edition	f	Comedy	Farce	f	f				f	159208 - a1 A2 er$ - b1 Z p : b2 Bb3 talibus - c2 Hh5 re$vetern									
157	M173	1592-01-01	1592-12-31	First Printing	Full edition	f	Comedy	Sacred comedy	f	f				f	159208 - a1 A2 er$ : a2 H3 ndae$ - b1 H4 ribus : b2 M I - c1 M2 eat$m c2 Hh5 re$vetern									
158	M174	1592-01-01	1592-12-31	Reprint	Full edition	f	Comedy	Sacred comedy	f	f	https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SchonaeusTobaeus1591			f	159208 - a1 A2 er$ : a2 Aiij dis$A - b1 A4 s$ra : b2 E3 aud - c1 E4 bus : c2 2H5 re$vetern									
159	M218	1601-01-01	1601-12-31	First Printing	Full edition	f	Tragedy		t	t	https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/GrotiusAdamusExul1601	https://www.let.leidenuniv.nl/Dutch/Ceneton/GrotiusAdamusExul1601.html	http://books.google.be/books?id=pRY_AAAAcAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false	f	160104 - a1 Aij q$e : a2 B an - b1 Bij $ : b2 Lij oni,$ - c1 a us : c2 gij ile$f									
