publisher_id	name
6598	A. de Backer
6722	Joannes Bogardus
6723	Joannes Bogardus
6815	Peeter Bouvet
6787	Nicolaus Brylinger
6786	N. Breygel
6786	Nicolaes Breygel
6786	Nicolaes Breyghel
6696	Jacobus du Caju
6818	Pieter vande Capelle
6818	Petri vande Cappelle
6599	Antonius Claudinot
6599	Athonii Claudinot
6857	Wed. Pieter de Cleyn
6788	Petrus Cleijn
6788	Petrus de Cleyn
6756	Ioos Dooms
6760	Judocus Doomsius
6773	Godfridus Dumeus
6731	Joannes Francisci vander Elst
6731	Joannis Francisci Vander Elst
6715	Joannes Eton
6592	Alexandrum Everaerts
6592	Alexander Josephus Everaerts
6592	Alexandri Everaerts
6592	Alexander-Josephus Everaerts
6816	Peeter Geubels
6801	Wed. Petrus (I) de Goesin
6801	Weduwe Petrus de Goesin
6801	Wed. Petrus de Goesin
6789	Petrus (I) de Goesin
6789	Petrus Franciscus I de Goesin
6789	Petrus de Goesin
6789	Petri de Goesin
6790	Petrus de Goesin
6790	Petri de Goesin
6790	Pierre François (II) de Goesin
6790	Petrus (II) de Goesin
6639	Erfgenamen Maximiliaen Graet
6778	Maximiliaen Graet
6745	Joannis van Gulpen
6750	Joannes Gymnicus
6750	Johannes Gymnich
6750	Johann Gymnich
6751	Joannes Gymnicus
6751	Johannes Gymnich
6751	Johann Gymnich
6660	G. Hacquebaud
6781	Michael Hillenius
6781	Michael Hillen van Hoochstraten
6596	Andreae Jaye
6596	Andries Jaye
6665	Henry Iaye
6665	Henricum Jaey
6730	Jan Frans Jaye
6712	Jean vanden Kerchove
6712	Joannes Kerchovius
6712	Jan vanden Kerckhove
6712	Joannes Kerckhove
6712	Ian vanden Kerckove
6738	J. Latius
6809	P.J. Lemmens
6753	Haeredibus Ioannis Hertsroy
6667	Hendrik van der Loe
6852	Wed. Manilius
6608	Bauduijn Manilius
6648	Gualterus Manilius
6770	Lucas van Meerbeeck
6770	Luc de Meerbeque
6625	Marius
6710	Jean de Meurs
6710	J. Meursius
6711	J. van Mullem
6766	Lenaerdt Ophoven
6811	P. van Ouwen
6717	J. Pepermans
6613	Gaspar du Pree
6845	Wed. Jacob de Rave
6670	Hendrick Saetreuver
6805	Petrus Sanctandreus
6805	Petrus Santandreus
6743	Joannes Scoeffer
6734	Joannes Steels
6838	Wed. en erfgenamen Hendrick Thieullier
6838	Wed. Henri Thieullier en erfgenamen
6838	Vidua Henrici Thieullier
6838	Wed. en erven Hendrick Thieullier
6843	Wed. Hubert Antonius Velpius
6824	Rutger Velpius
6616	Chr. Wechelus
6860	Wed. Weins
6718	Jan Weins
6653	Wolschatius
