id	name	widow_heirs	first_name	patronym	prefix	addition	surname	cerl_link
6664	Hendrick Aertssens		Hendrick				Aertssens	
6676	Huybrecht Anthoon Velpius (II)		Huybrecht			(II)	Anthoon Velpius	https://data.cerl.org/thesaurus/cni00035639
6675	Hubertus Antonius Velpius (I)		Hubertus Antonius			(I)	Velpius	https://data.cerl.org/thesaurus/cni00096447
6679	J. de Ayala		J.		de		Ayala	
6598	Antheunes de Backer		Antheunes		de		Backer	
6649	George de Backer		George		de		Backer	
6830	Thomas Basson		Thomas				Basson	
6694	Jacobus Beernaerts		Jacobus				Beernaerts	
6721	Joannes Beernaerts		Joannes				Beernaerts	
6645	François Bellet		François				Bellet	
6703	Jan Bellet		Jan				Bellet	
6724	Joannes Caspar Bencard		Joannes Caspar				Bencard	https://data.cerl.org/thesaurus/cni00074223
6601	Arnoldus Benier		Arnoldus				Benier	
6584	A. Bergagne		A.				Bergagne	
6813	Pieter van den Berge (I)		Pieter		van den	(I)	Berge	
6862	Wed. Zegher van den Berghe	Widow	Zegher		van den		Berghe	
6865	Zegher van den Berghe		Zegher		van den		Berghe	
6684	J. van den Berghen		J.		van den		Berghen	
6863	Willem Jansz Blaeu		Willem	Jansz			Blaeu	
6722	Jan Bogart (I)		Jan			(I)	Bogart	https://data.cerl.org/thesaurus/cni00103446
6723	Jean Bogart (II)		Jean			(II)	Bogart	https://data.cerl.org/thesaurus/cni00103447
6792	Petrus Bogardus		Petrus				Bogardus	
6671	Herman van Borculo (I)		Herman		van	(I)	Borculo	
6611	Jacques Boscardus		Jacques				Boscardus	https://data.cerl.org/thesaurus/cni00008937
6836	Wed. Charles Boscart	Widow	Charles				Boscart	
6614	Charles Boscart		Charles				Boscart	
6815	Pieter Bouvet		Pieter				Bouvet	
6817	Pieter van Braam		Pieter		van		Braam	
6662	Guillielmus le Bret en Fezandat		Guillielmus		le		Bret en Fezandat	
6787	Nicolaus Brylingerus		Nicolaus				Brylingerus	https://data.cerl.org/thesaurus/cni00091960
6786	Nicolaus Breygelius		Nicolaus				Breygelius	https://data.cerl.org/thesaurus/cni00035661
6695	Jacobus Brouwer		Jacobus				Brouwer	
6782	Michiel Bruers		Michiel				Bruers	
6623	Cornelis de Bruyn		Cornelis		de		Bruyn	
6757	Joseph de Busscher		Joseph		de		Busscher	
6853	Wed. Martinus Caesar	Widow	Martinus				Caesar	
6772	Martinus Caesar		Martinus				Caesar	
6793	Petrus Caesar		Petrus				Caesar	
6696	Jacobus J. du Caju		Jacobus J.		du		Caju	
6798	Petrus Iansonius Campensis		Petrus	Iansonius			Campensis	
6818	Pieter vande Cappelle		Pieter		vande		Cappelle	
6687	J.B. Carstiaenssens		J.B.				Carstiaenssens	
6599	Antoine Claudinot		Antoine				Claudinot	
6857	Wed. Peter de Cleyn	Widow	Peter		de		Cleyn	
6788	Peter de Cleyn		Peter		de		Cleyn	
6595	Andreas Cloucquius		Andreas				Cloucquius	
6704	Jan Cnobbaert		Jan				Cnobbaert	
6783	Michiel Cnobbaert		Michiel				Cnobbaert	
6725	Joannes Cnobbarus		Joannes				Cnobbarus	
6850	Wed. Joannes Cnobberus	Widow	Joannes				Cnobberus	
6854	Joannes Coccius		Joannes				Coccius	
6626	Cornelius Coenestenius		Cornelius				Coenestenius	
6630	Cyprianus Coenestenius		Cyprianus				Coenestenius	
6622	Commelin						Commelin	
6585	Aegidius Copenius		Aegidius				Copenius	
6758	Josse Coppens		Josse				Coppens	
6629	Crato						Crato	
6705	Jan Danckaert		Jan				Danckaert	
6791	Petrus Augustinus Denique		Petrus Augustinus				Denique	
6756	Joos Dooms		Joos				Dooms	
6760	Judocus Dooms		Judocus				Dooms	
6810	Philippus Dormalius		Philippus				Dormalius	
6586	Antonius Dumaeus		Antonius				Dumaeus	
6773	Godfridus Dumaeus		Godfridus				Dumaeus	
6656	Gosuinus à Duyn		Gosuinus		à		Duyn	
6771	Ludovicus Elsevier		Ludovicus				Elsevier	
6731	Joannes Franciscus vander Elst		Joannes Franciscus		vander		Elst	
6765	Laurentius vander Elst		Laurentius		vander		Elst	
6636	Elzevier						Elzevier	
6821	G. Emerson		G.				Emerson	
6715	Jean Eton		Jean				Eton	
6592	Alexander Everaerts		Alexander				Everaerts	https://data.cerl.org/thesaurus/cni00019103
6640	Faber						Faber	
6726	Joannes de Fampoux		Joannes		de		Fampoux	
6728	Joannes Federle		Joannes				Federle	
6748	Jobus Franckius		Jobus				Franckius	
6646	Furmann						Furmann	
6979	Hendrik van de Gaete		Hendrik		van de		Gaete	
6590	Alberti Gedelij		Alberti				Gedelij	
6816	Pieter Geubels		Pieter				Geubels	
6847	Wed. Jan van Ghemmert	Widow	Jan		van		Ghemmert	
