id	label
6982	W1
6983	W2
6984	W3
6985	W4
6986	W5
6987	W6
6988	W7
6989	W8
6990	W9
6991	W10
6992	W11
6993	W12
6994	W13
6995	W14
6996	W15
6997	W16
6998	W17
6999	W18
7000	W19
7001	W20
7002	W21
7003	W22
7004	W23
7005	W24
7006	W25
7007	W26
7008	W27
7009	W28
7010	W29
7011	W30
7012	W31
7013	W32
7014	W33
7015	W34
7016	W35
7017	W36
7018	W37
7019	W38
7020	W39
7021	W40
7022	W41
7023	W42
7024	W43
7025	W44
7026	W45
7027	W46
7028	W47
7029	W48
7030	W49
7031	W50
7032	W51
7033	W52
7034	W53
7035	W54
7036	W55
7037	W56
7038	W57
7039	W58
7040	W59
7041	W60
7042	W61
7043	W62
7044	W63
7045	W64
7046	W65
7047	W66
7048	W67
7049	W68
7050	W69
7051	W70
7052	W71
7053	W72
7054	W73
7055	W74
7056	W75
7057	W76
7058	W77
7059	W78
7060	W79
7061	W80
7062	W81
7063	W82
7064	W83
7065	W84
7066	W85
7067	W86
7068	W87
7069	W88
7070	W89
7071	W90
7072	W91
7073	W92
7074	W93
7075	W94
7076	W95
7077	W96
7078	W97
7079	W98
7080	W99
7081	W100
7082	W101
7083	W102
7084	W103
7085	W104
7086	W105
7087	W106
7088	W107
7089	W108
7090	W109
7091	W110
7092	W111
7093	W112
7094	W113
7095	W114
7096	W115
7097	W116
7098	W117
7099	W118
7100	W119
7101	W120
7102	W121
7103	W122
7104	W123
7105	W124
7106	W125
7107	W126
7108	W127
7109	W128
7110	W129
7111	W130
7112	W131
7113	W132
7114	W133
7115	W134
7116	W135
7117	W136
7118	W137
7119	W138
7120	W139
7121	W140
7122	W141
7123	W142
7124	W143
7125	W144
7126	W145
7127	W146
7128	W147
7129	W148
7130	W149
7131	W150
7132	W151
7133	W152
7134	W153
7135	W154
7136	W155
7137	W156
7138	W157
7139	W158
7140	W159
7141	W160
7142	W161
7143	W162
7144	W163
7145	W164
7146	W165
7147	W166
7148	W167
7149	W168
7150	W169
7151	W170
7152	W171
7153	W172
7154	W173
7155	W174
7156	W175
7157	W176
7158	W177
7159	W178
7160	W179
7161	W180
7162	W181
7163	W182
7164	W183
7165	W184
7166	W185
7167	W186
7168	W187
7169	W188
7170	W189
7171	W190
7172	W191
7173	W192
7174	W193
7175	W194
7176	W195
7177	W196
7178	W197
7179	W198
7180	W199
7181	W200
7182	W201
7183	W202
7184	W203
7185	W204
7186	W205
7187	W206
7188	W207
7189	W208
7190	W209
7191	W210
7192	W211
7193	W212
7194	W213
7195	W214
7196	W215
7197	W216
7198	W217
7199	W218
7200	W219
7201	W220
7202	W221
7203	W222
7204	W223
7205	W224
7206	W225
7207	W226
7208	W227
7209	W228
7210	W229
7211	W230
7212	W231
7213	W232
7214	W233
7215	W234
7216	W235
7217	W236
7218	W237
7219	W238
7220	W239
7221	W240
7222	W241
7223	W242
7224	W243
7225	W244
7226	W245
7227	W246
7228	W247
7229	W248
7230	W249
7231	W250
7232	W251
7233	W252
7234	W253
7235	W254
7236	W255
7237	W256
7238	W257
7239	W258
7240	W259
7241	W260
7242	W261
7243	W262
7244	W263
7245	W264
7246	W265
7247	W266
7248	W267
7249	W268
7250	W269
7251	W270
7252	W271
7253	W272
7254	W273
7255	W274
7256	W275
7257	W276
7258	W277
7259	W278
7260	W279
7261	W280
7262	W281
7263	W282
7264	W283
7265	W284
7266	W285
7267	W286
7268	W287
7269	W288
7270	W289
7271	W290
7272	W291
7273	W292
7274	W293
7275	W294
7276	W295
7277	W296
7278	W297
7279	W298
7280	W299
7281	W300
7282	W301
7283	W302
7284	W303
7285	W304
7286	W305
7287	W306
7288	W307
7289	W308
7290	W309
7291	W310
7292	W311
7293	W312
7294	W313
7295	W314
7296	W315
7297	W316
7298	W317
7299	W318
7300	W319
7301	W320
7302	W321
7303	W322
7304	W323
7305	W324
7306	W325
7307	W326
7308	W327
7309	W328
7310	W329
7311	W330
7312	W331
7313	W332
7314	W333
7315	W334
7316	W335
7317	W336
7318	W337
7319	W338
7320	W339
7321	W340
7322	W341
7323	W342
7324	W343
7325	W344
7326	W345
7327	W346
7328	W347
7329	W348
7330	W349
7331	W350
7332	W351
7333	W352
7334	W353
7335	W354
7336	W355
7337	W356
7338	W357
7339	W358
7340	W359
7341	W360
7342	W361
7343	W362
7344	W363
7345	W364
7346	W365
7347	W366
7348	W367
7349	W368
7350	W369
7351	W370
7352	W371
7353	W372
7354	W373
7355	W374
7356	W375
7357	W376
7358	W377
7359	W378
7360	W379
7361	W380
7362	W381
7363	W382
7364	W383
7365	W384
7366	W385
7367	W386
7368	W387
7369	W388
7370	W389
7371	W390
7372	W391
7373	W392
7374	W393
7375	W394
7376	W395
7377	W396
7378	W397
7379	W398
7380	W399
7381	W400
7382	W401
7383	W402
7384	W403
7385	W404
7386	W405
7387	W406
7388	W407
7389	W408
