annotation	node
a00000000	19644
a00000311	19645
a00000312	19646
a00000313	19647
a00000314	19648
a00000315	19649
a00000316	19650
a00000317	19651
a00000318	19652
a00000319	19653
a00000320	19654
a00000321	19655
a00000322	19656
a00000323	19657
a00000324	19658
a00000325	19659
a00000326	19660
a00000327	19661
a00000328	19662
a00000329	19663
a00000330	19664
a00000331	19665
a00000332	19666
a00000333	19667
a00000334	19668
a00000335	19669
a00000336	19670
a00000337	19671
a00000338	19672
a00000339	19673
a00000340	19674
a00000341	19675
a00000342	19676
a00000343	19677
a00000344	19678
a00000345	19679
a00000346	19680
a00000347	19681
a00000348	19682
a00000349	19683
a00000350	19684
a00000351	19685
a00000352	19686
a00000353	19687
a00000354	19688
a00000355	19689
a00000356	19690
a00000357	19691
a00000358	19692
a00000359	19693
a00000360	19694
a00000361	19695
a00000362	19696
a00000363	19697
a00000364	19698
a00000365	19699
a00000366	19700
a00000367	19701
a00000368	19702
a00000369	19703
a00000370	19704
a00000371	19705
a00000372	19706
a00000373	19707
a00000374	19708
a00000375	19709
a00000376	19710
a00000377	19711
a00000378	19712
a00000379	19713
a00000380	19714
a00000381	19715
a00000382	19716
a00000383	19717
a00000384	19718
a00000385	19719
a00000386	19720
a00000387	19721
a00000388	19722
a00000389	19723
a00000390	19724
a00000391	19725
a00000392	19726
a00000393	19727
a00000394	19728
a00000395	19729
a00000396	19730
a00000397	19731
a00000398	19732
a00000399	19733
a00000400	19734
a00000401	19735
a00000402	19736
a00000403	19737
a00000404	19738
a00000405	19739
a00000406	19740
a00000407	19741
a00000408	19742
a00000409	19743
a00000410	19744
a00000411	19745
a00000412	19746
a00000413	19747
a00000414	19748
a00000415	19749
a00000416	19750
a00000417	19751
a00000418	19752
a00000419	19753
a00000420	19754
a00000421	19755
a00000422	19756
a00000423	19757
a00000424	19758
a00000425	19759
a00000426	19760
a00000427	19761
a00000428	19762
a00000429	19763
a00000430	19764
a00000431	19765
a00000432	19766
a00000433	19767
a00000434	19768
a00000435	19769
a00000436	19770
a00000437	19771
a00000438	19772
a00000439	19773
a00000440	19774
a00000441	19775
a00000442	19776
a00000443	19777
a00000444	19778
a00000445	19779
